;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;ALARMS
 
;Analog Alarms
;Analog A,Tagname,HandshakeTagName,HandshakeAutoReset,Acktagname,AckAutoreset,Deadbandvalue,DeadbandType,Outofalarmlabel,AlarmIdentification,Ack File Msg,Ack Printer Message, Ack Message Source,Out of Alm file msg,Out of Alm printer msg,Out of Alm Message Source ,Thresh1 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh2 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh3 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh4 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh5 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh6 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh7 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,Thresh8 type,Threshold,Label,MessageSource,File msg,Printer msg,Direction,Severity,
 
;Digital Alarms
;Digital D,Tagname,type,Label,Severity,Message Source,File msg,Printer msg,Out of alm msg source,Out Of alm File msg,Out of alm Printer msg,Ack msg source,Ack File msg,Ack Printer msg,Alarm Identify,Out of alm label,Ack Tag Name,Ack Auto Reset,Handshake Tag Name,Handshake Auto Reset
"D","cip1\Valv\XV7115D_ALR","ON","XV7115D","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7116A_ALR","ON","XV7116A","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7116B_ALR","ON","XV7116B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip1\Valv\XV7116C_ALR","ON","XV7116C","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7209_ALR","ON","BB7209","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7209_FAL","ON","BB7209","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7209_TE","OFF","BB7209","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7210_ALR","ON","BB7210","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7210_FAL","ON","BB7210","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7210_TE","OFF","BB7210","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7211_ALR","ON","BB7211","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7211_FAL","ON","BB7211","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7211_TE","OFF","BB7211","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7212_ALR","ON","BB7212","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7212_FAL","ON","BB7212","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7212_TE","OFF","BB7212","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7213_ALR","ON","BB7213","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7213_FAL","ON","BB7213","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7213_TE","OFF","BB7213","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7214_ALR","ON","BB7214","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7214_FAL","ON","BB7214","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7214_TE","OFF","BB7214","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7215_ALR","ON","BB7215","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7215_FAL","ON","BB7215","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Inv\BB7215_TE","OFF","BB7215","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Mot\BB7002_ALR","ON","BB7002","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Mot\BB7002_TE","OFF","BB7002","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Mot\BB7003_ALR","ON","BB7003","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Mot\BB7003_TE","OFF","BB7003","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Mot\BB7005A_ALR","ON","BB7005A","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Mot\BB7005A_TE","OFF","BB7005A","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Mot\BB7006A_ALR","ON","BB7006A","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Mot\BB7006A_TE","OFF","BB7006A","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Mot\BB7006B_ALR","ON","BB7006B","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Mot\BB7006B_TE","OFF","BB7006B","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Mot\BB7206_ALR","ON","BB7206","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Mot\BB7206_TE","OFF","BB7206","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Mot\BB7207_ALR","ON","BB7207","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Mot\BB7207_TE","OFF","BB7207","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Mot\BB7208_ALR","ON","BB7208","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Mot\BB7208_TE","OFF","BB7208","1","S","","","S","","","S","","","","","","N","","N"
"D","CIP2\Valv\XV7100C_ALR","ON","XV7100C","1","S","","","S","","","S","","","","","","N","","N"
"D","Cip2\Valv\XV7202A_ALR","ON","XV7202A","1","S","","","S","","","S","","","","","","N","","N"
